"","empirical"
"999","ENSG00000101236"
"1000","ENSG00000101246"
"1001","ENSG00000101265"
"1002","ENSG00000101298"
"1003","ENSG00000101307"
"1004","ENSG00000101361"
"1005","ENSG00000101363"
"1006","ENSG00000101365"
"1007","ENSG00000101384"
"1008","ENSG00000101391"
"1009","ENSG00000101400"
"1010","ENSG00000101407"
"1011","ENSG00000101413"
"1012","ENSG00000101439"
"1013","ENSG00000101442"
"1014","ENSG00000101443"
"1015","ENSG00000101445"
"1016","ENSG00000101457"
"1017","ENSG00000101460"
"1018","ENSG00000101473"
"1019","ENSG00000101493"
"1020","ENSG00000101544"
"1021","ENSG00000101546"
"1022","ENSG00000101574"
"1023","ENSG00000101577"
"1024","ENSG00000101596"
"1025","ENSG00000101608"
"1026","ENSG00000101639"
"1027","ENSG00000101654"
"1028","ENSG00000101665"
"1029","ENSG00000101670"
"1030","ENSG00000101695"
"1031","ENSG00000101745"
"1032","ENSG00000101773"
"1033","ENSG00000101782"
"1034","ENSG00000101846"
"1035","ENSG00000101856"
"1036","ENSG00000101882"
"1037","ENSG00000101986"
"1038","ENSG00000102001"
"1039","ENSG00000102003"
"1040","ENSG00000102007"
"1041","ENSG00000102024"
"1042","ENSG00000102030"
"1043","ENSG00000102032"
"1044","ENSG00000102034"
"1045","ENSG00000102038"
"1046","ENSG00000102048"
"1047","ENSG00000102078"
"1048","ENSG00000102081"
"1049","ENSG00000102096"
"1050","ENSG00000102103"
"1051","ENSG00000102109"
"1052","ENSG00000102119"
"1053","ENSG00000102181"
"1054","ENSG00000102189"
"1055","ENSG00000102225"
"1056","ENSG00000102230"
"1057","ENSG00000102245"
"1058","ENSG00000102271"
"1059","ENSG00000102302"
"1060","ENSG00000102312"
"1061","ENSG00000102317"
"1062","ENSG00000102359"
"1063","ENSG00000102362"
"1064","ENSG00000102383"
"1065","ENSG00000102385"
"1066","ENSG00000102401"
"1067","ENSG00000102409"
"1068","ENSG00000102445"
