"","target","p","padj"
"DAPK3","DAPK3",0.893,1
"CDK8","CDK8",0.894,1
"NCOA3","NCOA3",0.896,1
"CHEK2","CHEK2",0.901,1
"MAPK9","MAPK9",0.901,1
"MC4R","MC4R",0.901,1
"MST1R","MST1R",0.901,1
"ZAP70","ZAP70",0.901,1
"GPR55","GPR55",0.905,1
"LRRK2","LRRK2",0.906,1
"MKNK2","MKNK2",0.907,1
"OPRL1","OPRL1",0.907,1
"FLT3","FLT3",0.909,1
"AKT2","AKT2",0.912,1
"PRKCB","PRKCB",0.912,1
"KDR","KDR",0.913,1
"EGFR","EGFR",0.914,1
"FGFR1","FGFR1",0.915,1
"HCK","HCK",0.918,1
"AURKA","AURKA",0.919,1
"FGFR2","FGFR2",0.92,1
"TEK","TEK",0.92,1
"PRKCD","PRKCD",0.921,1
"ATP1A1","ATP1A1",0.922,1
"ATP1A2","ATP1A2",0.922,1
"ATP1A3","ATP1A3",0.922,1
"ATP1A4","ATP1A4",0.922,1
"ATP1B1","ATP1B1",0.922,1
"ATP1B2","ATP1B2",0.922,1
"ATP1B3","ATP1B3",0.922,1
"CDK2","CDK2",0.922,1
"FXYD2","FXYD2",0.922,1
"CCNH","CCNH",0.923,1
"EIF2AK2","EIF2AK2",0.923,1
"F3","F3",0.924,1
"ERBB4","ERBB4",0.926,1
"MAP4K2","MAP4K2",0.926,1
"NTRK2","NTRK2",0.926,1
"PLK1","PLK1",0.926,1
"TACR2","TACR2",0.926,1
"ALOX12","ALOX12",0.927,1
"NTRK1","NTRK1",0.927,1
"UBE2N","UBE2N",0.931,1
"DDR1","DDR1",0.938,1
"MINK1","MINK1",0.938,1
"BCR","BCR",0.939,1
"BLK","BLK",0.939,1
"HDAC10","HDAC10",0.939,1
"CDK9","CDK9",0.943,1
"JAK2","JAK2",0.944,1
"DDR2","DDR2",0.945,1
"CCND1","CCND1",0.946,1
"HDAC11","HDAC11",0.949,1
"TDP2","TDP2",0.949,1
"JAK3","JAK3",0.954,1
"PTPN22","PTPN22",0.954,1
"PTPN7","PTPN7",0.954,1
"ATG4B","ATG4B",0.955,1
"HDAC8","HDAC8",0.957,1
"MAPK10","MAPK10",0.957,1
"RAF1","RAF1",0.959,1
"RET","RET",0.96,1
"LCK","LCK",0.961,1
"PDGFRB","PDGFRB",0.961,1
"MAPK8","MAPK8",0.962,1
"RIPK2","RIPK2",0.964,1
"ACVR1","ACVR1",0.966,1
"HDAC4","HDAC4",0.967,1
"HDAC5","HDAC5",0.967,1
"HDAC7","HDAC7",0.967,1
"HDAC9","HDAC9",0.967,1
"LYN","LYN",0.971,1
"CCND2","CCND2",0.973,1
"PIK3R1","PIK3R1",0.975,1
"EPHB4","EPHB4",0.976,1
"PRKDC","PRKDC",0.976,1
"STAT3","STAT3",0.976,1
"ABL1","ABL1",0.977,1
"BTK","BTK",0.977,1
"HDAC1","HDAC1",0.977,1
"MAPKAPK2","MAPKAPK2",0.977,1
"HIF1A","HIF1A",0.978,1
"PDGFRA","PDGFRA",0.978,1
"CHEK1","CHEK1",0.979,1
"XBP1","XBP1",0.98,1
"PIK3CB","PIK3CB",0.981,1
"CDK7","CDK7",0.982,1
"HDAC2","HDAC2",0.983,1
"PSMB1","PSMB1",0.983,1
"ERBB2","ERBB2",0.984,1
"CSF1R","CSF1R",0.986,1
"HDAC3","HDAC3",0.987,1
"PIK3C3","PIK3C3",0.988,1
"PIK3CG","PIK3CG",0.988,1
"CCND3","CCND3",0.989,1
"CDK4","CDK4",0.989,1
"PIK3C2B","PIK3C2B",0.994,1
"PIK3CD","PIK3CD",0.995,1
"PSMB2","PSMB2",0.996,1
"PSMB5","PSMB5",0.996,1
"PIK3CA","PIK3CA",0.998,1
"KIT","KIT",0.999,1
"MTOR","MTOR",1,1
